Id,DisplayName,MembershipRule
abcd-53b6-efgh-8d3a-ijklmnop,SG_Associate,(user.physicalDeliveryOfficeName -eq ""Associate"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d4a-ijklmnop,SG_Manager,(user.physicalDeliveryOfficeName -eq ""Manager"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d5a-ijklmnop,SG_ServiceAccount,(user.physicalDeliveryOfficeName -eq ""ServiceAccount"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d6a-ijklmnop,SG_Consultant,(user.physicalDeliveryOfficeName -eq ""Consultant"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d7a-ijklmnop,SG_Leadership,(user.physicalDeliveryOfficeName -eq ""Leadership"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d8a-ijklmnop,SG_CO,(user.state -eq ""CO"") -and (user.accountEnabled -eq true) 
abcd-53b6-efgh-8d9a-ijklmnop,SG_CP,(user.state -eq ""CP"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d10a-ijklmnop,SG_NY,(user.state -eq ""NY"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d11a-ijklmnop,SG_TX,(user.state -eq ""TX"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d12a-ijklmnop,SG_CO_Boulder,(user.streetAddress -eq ""CO - Boulder"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d13a-ijklmnop,SG_CO_Central_Park,(user.streetAddress -eq ""CO - Central Park"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d14a-ijklmnop,SG_CO_Cherry_Creek,(user.streetAddress -eq ""CO - Cherry Creek"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d15a-ijklmnop,SG_CO_Greenwood_Village,(user.streetAddress -eq ""CO - Greenwood Village"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d16a-ijklmnop,SG_CO_Lakewood,(user.streetAddress -eq ""CO - Lakewood"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d17a-ijklmnop,SG_Corporate,(user.streetAddress -eq ""Corporate"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d18a-ijklmnop,SG_NY_Brooklyn_Heights,(user.streetAddress -eq ""NY - Brooklyn Heights"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d19a-ijklmnop,SG_NY_Union_Square,(user.streetAddress -eq ""NY - Union Square"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d20a-ijklmnop,SG_TX_Houston,(user.streetAddress -eq ""TX - Houston"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d21a-ijklmnop,SG_Patient_Access,(user.companyName -eq ""Patient Access"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d22a-ijklmnop,SG_Psychiatrist,(user.companyName -eq ""Psychiatrist"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d23a-ijklmnop,SG_Therapist,(user.companyName -eq ""Therapist"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d24a-ijklmnop,SG_Clinician,(user.companyName -eq ""Psychiatrist"") -or (user.companyName -eq "Therapist") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d25a-ijklmnop,SG_CO_Psychiatrists,(user.state -eq ""CO"") and (user.companyName -eq ""Psychiatrist"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d26a-ijklmnop,SG_CP_Psychiatrists,(user.state -eq ""CP"") and (user.companyName -eq ""Psychiatrist"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d27a-ijklmnop,SG_NY_Psychiatrists,(user.state -eq ""NY"") and (user.companyName -eq ""Psychiatrist"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d28a-ijklmnop,SG_TX_Psychiatrists,(user.state -eq ""TX"") and (user.companyName -eq ""Psychiatrist"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d29a-ijklmnop,SG_CO_Therapists,(user.state -eq ""CO"") and (user.companyName -eq ""Therapist"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d30a-ijklmnop,SG_CP_Therapists,(user.state -eq ""CP"") and (user.companyName -eq ""Therapist"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d31a-ijklmnop,SG_NY_Therapists,(user.state -eq ""NY"") and (user.companyName -eq ""Therapist"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d32a-ijklmnop,SG_TX_Therapists,(user.state -eq ""TX"") and (user.companyName -eq ""Therapist"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d33a-ijklmnop,SG_CO_Clinicians,(user.state -eq ""CO"") -and ((user.companyName -eq ""Psychiatrist"") -or (user.companyName -eq ""Therapist"")) -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d34a-ijklmnop,SG_CP_Clinicians,(user.state -eq ""CP"") -and ((user.companyName -eq ""Psychiatrist"") -or (user.companyName -eq ""Therapist"")) -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d35a-ijklmnop,SG_NY_Clinicians,(user.state -eq ""NY"") -and ((user.companyName -eq ""Psychiatrist"") -or (user.companyName -eq ""Therapist"")) -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d36a-ijklmnop,SG_TX_Clinicians,(user.state -eq ""TX"") -and ((user.companyName -eq ""Psychiatrist"") -or (user.companyName -eq ""Therapist"")) -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d37a-ijklmnop,SG_MD_Employees,(user.State -eq ""MD"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d38a-ijklmnop,SG_MD_Frederick,(user.StreetAddress -eq ""MD - Frederick"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d39a-ijklmnop,SG_MD_Gaithersburg,(user.StreetAddress -eq ""MD - Gaithersburg"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d40a-ijklmnop,SG_MD_Psychiatrists,(user.State -eq ""MD"") -and (user.companyName -eq ""Psychiatrist"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d41a-ijklmnop,SG_MD_Therapists,(user.State -eq ""MD"") -and (user.companyName -eq ""Therapist"") -and (user.accountEnabled -eq true)
abcd-53b6-efgh-8d42a-ijklmnop,SG_MD_Clinicians,(user.State -eq ""MD"") -and ((user.companyName -eq ""Psychiatrist"") -or (user.companyName -eq "Therapist")) -and (user.accountEnabled -eq true)
